SIID,simvar,transMult
201046.0,1.02e-05,1.0
201124.0,1.02e-05,3.0
202273.0,1.02e-05,2.0
203809.0,1.02e-05,1.0
206322.0,1.02e-05,3.0
206860.0,1.02e-05,2.0
207210.0,1.02e-05,1.0
207636.0,1.02e-05,1.0
208725.0,1.02e-05,1.0
209723.0,1.02e-05,1.0
200800.0,1.02e-05,1.0
201290.0,1.02e-05,1.0
209043.0,1.02e-05,2.0
200024.0,1.02e-05,1.0
200551.0,1.02e-05,1.0
200725.0,1.02e-05,1.0
200737.0,1.02e-05,1.0
200914.0,1.02e-05,1.0
201986.0,1.02e-05,1.0
203145.0,1.02e-05,1.0
203290.0,1.02e-05,1.0
204096.0,1.02e-05,1.0
204253.0,1.02e-05,1.0
204603.0,1.02e-05,1.0
205318.0,1.02e-05,1.0
206009.0,1.02e-05,1.0
207298.0,1.02e-05,1.0
207406.0,1.02e-05,1.0
207721.0,1.02e-05,1.0
207765.0,1.02e-05,1.0
208026.0,1.02e-05,1.0
208499.0,1.02e-05,1.0
209050.0,1.02e-05,1.0
209917.0,1.02e-05,1.0
210876.0,1.12e-05,1.0
211099.0,1.12e-05,1.0
211202.0,1.12e-05,1.0
211535.0,1.12e-05,1.0
214362.0,1.12e-05,2.0
216714.0,1.12e-05,1.0
217616.0,1.12e-05,2.0
219406.0,1.12e-05,1.0
219944.0,1.12e-05,2.0
210461.0,1.12e-05,1.0
214990.0,1.12e-05,1.0
220027.0,1.23e-05,2.0
220040.0,1.23e-05,1.0
220383.0,1.23e-05,1.0
220474.0,1.23e-05,1.0
220642.0,1.23e-05,2.0
220665.0,1.23e-05,2.0
220681.0,1.23e-05,2.0
220683.0,1.23e-05,2.0
220741.0,1.23e-05,1.0
220754.0,1.23e-05,1.0
220790.0,1.23e-05,1.0
220796.0,1.23e-05,1.0
220800.0,1.23e-05,1.0
220876.0,1.23e-05,1.0
220998.0,1.23e-05,1.0
221008.0,1.23e-05,2.0
221019.0,1.23e-05,1.0
221078.0,1.23e-05,1.0
