stokesnum,a,e,i,node,peri,M,P,f,mass,PlanetNum,mrRad_ChenKipping
1.0199999999999999e-05,0.06251595,0.01774257,0.03765671,3.02524,1.98839,4.436709,0.01563097,5.6865440000000005,1.0562600000000001e-06,0.0,0.7478761142352743
1.0199999999999999e-05,0.07484657,0.06490309999999999,0.07057525,0.3530036,2.04412,3.055454,0.02047659,0.7430736,5.052126e-07,30.0,0.6086717476803931
1.0199999999999999e-05,0.104752,0.0271879,0.02264534,-0.2134402,2.8434150000000002,0.02590845,0.03390335,3.652072,1.910533e-06,46.0,0.8727881255109795
1.0199999999999999e-05,0.1498201,0.04636612,0.0054876759999999995,-1.904781,4.659821,3.5859949999999996,0.05799012,0.9021646999999999,8.047519e-07,96.0,0.7115185788644034
1.0199999999999999e-05,0.1815405,0.07062313,0.02789552,-3.095543,4.66451,1.152636,0.07734982,5.804777,8.829820999999999e-07,124.0,0.7110293588431885
1.0199999999999999e-05,0.2646409,0.0293257,0.03651159,-0.8476790000000001,0.04159888,2.59191,0.1361394,3.3836269999999997,1.847457e-06,145.0,0.8919905446551649
1.0199999999999999e-05,0.35985609999999996,0.1238219,0.05721728,-2.9163419999999998,4.608626999999999,2.1329029999999998,0.21586970000000003,0.5629861999999999,3.610425e-07,187.0,0.5526266721763243
1.0199999999999999e-05,0.45153869999999996,0.01657606,0.01721011,-2.065958,3.5459089999999995,3.313126,0.3034175,1.865016,1.725788e-06,227.0,0.8573020820260002
1.0199999999999999e-05,0.6477958,0.03302232,0.04028528,2.1754689999999997,4.003642,3.057429,0.5213807,3.16024,1.18063e-06,247.0,0.7709284101866618
1.0199999999999999e-05,0.8632607,0.013483000000000002,0.01902402,-0.1333807,0.9896567,4.971861,0.8020666,4.0934919999999995,1.5478409999999999e-06,265.0,0.8422079754162327
1.0199999999999999e-05,1.237219,0.08063388,0.05184402,1.839379,0.3594062,6.228897,1.376155,3.9127099999999997,2.198e-07,318.0,0.4797878176320133
1.0199999999999999e-05,1.409794,0.46957170000000004,0.19358789999999998,2.398664,1.001318,0.21984740000000003,1.6739060000000001,3.125835,4.189867e-08,277.0,0.30127661348561285
1.12e-05,0.0606332,0.03966206,0.08655617,-2.638375,5.974752,3.204494,0.01493019,6.140333,1.348154e-06,0.0,0.8033810293722732
1.12e-05,0.08185725,0.05997313,0.0369986,-2.114774,5.448007,5.693223000000001,0.02341991,2.440121,9.190793999999999e-07,36.0,0.7276001957397633
1.12e-05,0.1015072,0.03012731,0.01381117,1.052745,1.0672620000000002,1.70291,0.03234036,5.840812000000001,9.448729e-07,45.0,0.7081289714699599
1.12e-05,0.12648210000000001,0.05528221,0.02682089,0.9878128,2.961187,4.698477,0.04498239,0.8287208,7.863486999999999e-07,82.0,0.7020573932295942
1.12e-05,0.16032190000000002,0.04162436,0.03332745,1.7401810000000002,0.6349792,0.7405286999999999,0.06419304,4.565844,1.571324e-06,103.0,0.8546749019060933
1.12e-05,0.24072710000000003,0.03792849,0.01934875,-1.556215,3.052696,1.9301709999999999,0.1181098,0.46699090000000004,1.3208260000000002e-06,142.0,0.8088590319274062
1.12e-05,0.3232698,0.03525516,0.01195574,1.373094,0.8338620999999999,1.6849599999999998,0.18380020000000002,5.724646,1.2076390000000001e-06,184.0,0.794266374829875
1.12e-05,0.42332749999999997,0.01736535,0.03498994,-0.4402223,1.078425,3.798857,0.27543090000000003,3.160007,1.100452e-06,226.0,0.7616870121388022
1.12e-05,0.5620693,0.03427411,0.04831946,1.10903,3.442994,0.6980894,0.4213883,2.472632,1.338051e-06,244.0,0.801706371799825
1.12e-05,0.7594002,0.03306874,0.01261714,-2.7848599999999997,2.815948,4.3042050000000005,0.6617644,4.214327,1.7558959999999999e-06,275.0,0.8578181281039619
1.12e-05,0.9762796,0.08759713,0.0710873,-1.475468,2.562184,3.166419,0.9646251,2.224429,4.375449e-07,297.0,0.5892178225617692
1.12e-05,1.164334,0.139673,0.1378633,0.9689734,1.7717189999999998,4.0258389999999995,1.256358,1.563358,6.354744e-08,323.0,0.34216607284241723
1.12e-05,1.255391,0.11193330000000001,0.04621216,-2.367556,6.060297,5.222022,1.406584,1.7523950000000001,2.5175320000000003e-07,314.0,0.5142394345875789
1.23e-05,0.05847948,0.07556201,0.05231258,0.4432084,0.8547094999999999,4.025011,0.014141800000000001,2.78307,1.6890110000000001e-06,0.0,0.8618064412590416
1.23e-05,0.08474188,0.04149079,0.06020368,2.232993,5.716601,4.700531,0.02466871,3.0425869999999997,1.5318020000000002e-06,40.0,0.8396002330735747
