SIID,simvar,periodRatio,mutualHill,durationRatio,a1,a2,e1,e2,i1,i2,m1,m2,b1,b2,argPeri1,argPeri2,longAscNode1,longAscNode2
4.0,1.0,1.98106402,24.40332619,1.43901657,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.34953,0.7334,0.90489,1.19362,1.30406,-0.71314
27.0,1.0,3.81965735,48.83099756,1.45409166,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.02424,0.41496,0.90489,6.10835,1.30406,2.80714
32.0,1.0,1.98106402,24.40332619,1.32461701,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.10357,0.54819,0.90489,1.19362,1.30406,-0.71314
36.0,1.0,7.20108206,59.0928791,0.75942863,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.49943,0.30518,0.90489,5.66301,1.30406,-1.95241
36.0,1.0,5.27185074,47.05149829,1.05318937,0.18545,0.56174,0.01126,0.05245,0.05089,0.02106,4.7178,5.08025,0.30518,0.25137,5.66301,0.09629,-1.95241,3.00678
40.0,1.0,7.20108206,59.0928791,0.914566,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.86543,0.87638,0.90489,5.66301,1.30406,-1.95241
64.0,1.0,1.98106402,24.40332619,0.78688729,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.73953,0.51951,0.90489,1.19362,1.30406,-0.71314
70.0,1.0,3.81965735,48.83099756,0.57939102,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.7247,0.02881,0.90489,6.10835,1.30406,2.80714
80.0,1.0,3.81965735,48.83099756,0.93115299,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.16179,0.41063,0.90489,6.10835,1.30406,2.80714
107.0,1.0,1.98106402,24.40332619,2.1529449,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.4607,0.90881,0.90489,1.19362,1.30406,-0.71314
109.0,1.0,7.20108206,59.0928791,0.23075486,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.94031,0.25463,0.90489,5.66301,1.30406,-1.95241
120.0,1.0,1.98106402,24.40332619,0.97239762,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.28937,0.14209,0.90489,1.19362,1.30406,-0.71314
120.0,1.0,7.45380064,60.10028525,1.45155876,0.07845,0.29933,0.12528,0.00818,0.11682,0.07967,3.46032,3.8968,0.14209,0.72937,1.19362,3.29734,-0.71314,0.39279
123.0,1.0,1.98106402,24.40332619,0.46807949,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.89591,0.37283,0.90489,1.19362,1.30406,-0.71314
199.0,1.0,7.20108206,59.0928791,1.21124863,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.35352,0.75373,0.90489,5.66301,1.30406,-1.95241
235.0,1.0,7.20108206,59.0928791,0.79547797,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.61153,0.35137,0.90489,5.66301,1.30406,-1.95241
244.0,1.0,1.98106402,24.40332619,1.05331284,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.72641,0.75039,0.90489,1.19362,1.30406,-0.71314
