SIID,simvar,transMult,a,e,i,m,rad,probDetect
4.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
4.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
27.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
27.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
29.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
32.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
32.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
36.0,1.0,3.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
36.0,1.0,3.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
36.0,1.0,3.0,0.56174,0.05245,0.02106,5.08025,2.09960723,0.0
40.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
40.0,1.0,2.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
63.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
64.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
64.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
70.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
70.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
80.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
80.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
103.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
107.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
107.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
109.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
109.0,1.0,2.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
