SIID,simvar,transMult
4.0,1.0,2.0
27.0,1.0,2.0
29.0,1.0,1.0
32.0,1.0,2.0
36.0,1.0,3.0
40.0,1.0,2.0
63.0,1.0,1.0
64.0,1.0,2.0
70.0,1.0,2.0
80.0,1.0,2.0
103.0,1.0,1.0
107.0,1.0,2.0
109.0,1.0,2.0
120.0,1.0,3.0
123.0,1.0,2.0
126.0,1.0,1.0
199.0,1.0,2.0
207.0,1.0,1.0
217.0,1.0,1.0
235.0,1.0,2.0
244.0,1.0,3.0
250.0,1.0,2.0
291.0,1.0,3.0
307.0,1.0,2.0
327.0,1.0,1.0
328.0,1.0,2.0
334.0,1.0,2.0
346.0,1.0,2.0
373.0,1.0,2.0
383.0,1.0,2.0
388.0,1.0,1.0
389.0,1.0,3.0
392.0,1.0,1.0
402.0,1.0,2.0
410.0,1.0,2.0
422.0,1.0,1.0
424.0,1.0,1.0
425.0,1.0,2.0
442.0,1.0,1.0
461.0,1.0,2.0
474.0,1.0,2.0
487.0,1.0,1.0
490.0,1.0,1.0
505.0,1.0,2.0
508.0,1.0,1.0
515.0,1.0,1.0
525.0,1.0,2.0
551.0,1.0,3.0
554.0,1.0,2.0
568.0,1.0,1.0
592.0,1.0,2.0
620.0,1.0,3.0
634.0,1.0,2.0
642.0,1.0,2.0
680.0,1.0,2.0
681.0,1.0,2.0
683.0,1.0,2.0
687.0,1.0,2.0
725.0,1.0,2.0
730.0,1.0,2.0
737.0,1.0,2.0
741.0,1.0,2.0
754.0,1.0,1.0
760.0,1.0,1.0
790.0,1.0,3.0
796.0,1.0,2.0
800.0,1.0,1.0
821.0,1.0,1.0
837.0,1.0,2.0
839.0,1.0,1.0
841.0,1.0,2.0
846.0,1.0,4.0
862.0,1.0,1.0
870.0,1.0,2.0
884.0,1.0,3.0
896.0,1.0,1.0
899.0,1.0,1.0
908.0,1.0,1.0
912.0,1.0,1.0
913.0,1.0,2.0
914.0,1.0,3.0
973.0,1.0,4.0
976.0,1.0,2.0
997.0,1.0,1.0
998.0,1.0,2.0
1000.0,1.0,2.0
1019.0,1.0,1.0
1021.0,1.0,1.0
1023.0,1.0,1.0
1041.0,1.0,1.0
1046.0,1.0,2.0
1048.0,1.0,2.0
1051.0,1.0,1.0
1066.0,1.0,2.0
1078.0,1.0,1.0
1104.0,1.0,1.0
1106.0,1.0,2.0
1108.0,1.0,1.0
1124.0,1.0,1.0
1132.0,1.0,1.0
1138.0,1.0,1.0
1139.0,1.0,1.0
1147.0,1.0,2.0
1156.0,1.0,1.0
1158.0,1.0,2.0
1161.0,1.0,1.0
1170.0,1.0,1.0
1192.0,1.0,1.0
1200.0,1.0,2.0
1202.0,1.0,2.0
1203.0,1.0,2.0
1212.0,1.0,3.0
1256.0,1.0,1.0
1266.0,1.0,2.0
1282.0,1.0,2.0
1285.0,1.0,1.0
1286.0,1.0,2.0
1290.0,1.0,2.0
1298.0,1.0,1.0
1299.0,1.0,1.0
1308.0,1.0,1.0
1341.0,1.0,1.0
1350.0,1.0,3.0
1352.0,1.0,1.0
1354.0,1.0,1.0
1381.0,1.0,1.0
1390.0,1.0,2.0
1396.0,1.0,3.0
1403.0,1.0,1.0
1406.0,1.0,1.0
1427.0,1.0,2.0
1436.0,1.0,3.0
1439.0,1.0,2.0
1449.0,1.0,2.0
1454.0,1.0,1.0
1458.0,1.0,2.0
1479.0,1.0,2.0
1494.0,1.0,1.0
1503.0,1.0,1.0
1512.0,1.0,3.0
1536.0,1.0,1.0
1537.0,1.0,2.0
1545.0,1.0,1.0
1546.0,1.0,1.0
1562.0,1.0,1.0
1563.0,1.0,1.0
1576.0,1.0,2.0
1585.0,1.0,1.0
1589.0,1.0,2.0
1600.0,1.0,2.0
1602.0,1.0,1.0
1603.0,1.0,4.0
1629.0,1.0,2.0
1645.0,1.0,3.0
1666.0,1.0,1.0
1677.0,1.0,1.0
1679.0,1.0,3.0
1683.0,1.0,1.0
1684.0,1.0,2.0
1687.0,1.0,2.0
1695.0,1.0,2.0
1713.0,1.0,2.0
1730.0,1.0,2.0
1781.0,1.0,3.0
1790.0,1.0,2.0
1816.0,1.0,2.0
1820.0,1.0,1.0
1848.0,1.0,1.0
1867.0,1.0,1.0
1875.0,1.0,2.0
1907.0,1.0,2.0
1921.0,1.0,2.0
1936.0,1.0,1.0
1938.0,1.0,2.0
1964.0,1.0,4.0
1972.0,1.0,2.0
1983.0,1.0,2.0
1986.0,1.0,2.0
2026.0,1.0,2.0
2031.0,1.0,1.0
2043.0,1.0,2.0
2044.0,1.0,1.0
2047.0,1.0,1.0
2071.0,1.0,1.0
2087.0,1.0,2.0
2150.0,1.0,1.0
2173.0,1.0,1.0
2177.0,1.0,2.0
2187.0,1.0,1.0
2210.0,1.0,2.0
2216.0,1.0,2.0
2239.0,1.0,2.0
2243.0,1.0,1.0
2255.0,1.0,1.0
2264.0,1.0,2.0
2271.0,1.0,2.0
2273.0,1.0,2.0
2283.0,1.0,1.0
2299.0,1.0,1.0
2303.0,1.0,2.0
2313.0,1.0,1.0
2324.0,1.0,2.0
2331.0,1.0,2.0
2332.0,1.0,1.0
2337.0,1.0,1.0
2340.0,1.0,2.0
2343.0,1.0,1.0
2352.0,1.0,2.0
2354.0,1.0,2.0
2358.0,1.0,2.0
2368.0,1.0,1.0
2393.0,1.0,2.0
2397.0,1.0,2.0
2404.0,1.0,2.0
2424.0,1.0,2.0
2430.0,1.0,1.0
2438.0,1.0,3.0
2461.0,1.0,4.0
2514.0,1.0,1.0
2542.0,1.0,1.0
2564.0,1.0,1.0
2568.0,1.0,2.0
2576.0,1.0,1.0
2601.0,1.0,1.0
2629.0,1.0,1.0
2633.0,1.0,2.0
2634.0,1.0,3.0
2702.0,1.0,1.0
2711.0,1.0,2.0
2716.0,1.0,2.0
2719.0,1.0,1.0
2725.0,1.0,2.0
2736.0,1.0,2.0
2752.0,1.0,1.0
2760.0,1.0,2.0
2764.0,1.0,5.0
2766.0,1.0,2.0
2772.0,1.0,2.0
2775.0,1.0,2.0
2777.0,1.0,2.0
2787.0,1.0,1.0
2818.0,1.0,2.0
2819.0,1.0,2.0
2834.0,1.0,1.0
2837.0,1.0,1.0
2841.0,1.0,1.0
2861.0,1.0,2.0
2862.0,1.0,1.0
2872.0,1.0,2.0
2875.0,1.0,1.0
2886.0,1.0,2.0
2888.0,1.0,1.0
2890.0,1.0,1.0
2892.0,1.0,2.0
2915.0,1.0,3.0
2959.0,1.0,1.0
2978.0,1.0,3.0
2989.0,1.0,2.0
2997.0,1.0,1.0
3019.0,1.0,2.0
3055.0,1.0,2.0
3056.0,1.0,1.0
3071.0,1.0,3.0
3088.0,1.0,1.0
3089.0,1.0,2.0
3093.0,1.0,2.0
3110.0,1.0,3.0
3124.0,1.0,1.0
3135.0,1.0,1.0
3142.0,1.0,2.0
3145.0,1.0,2.0
3187.0,1.0,1.0
3197.0,1.0,2.0
3205.0,1.0,2.0
3213.0,1.0,2.0
3218.0,1.0,2.0
3250.0,1.0,1.0
3251.0,1.0,3.0
3252.0,1.0,2.0
3254.0,1.0,1.0
3271.0,1.0,2.0
3275.0,1.0,1.0
3297.0,1.0,1.0
3303.0,1.0,2.0
3305.0,1.0,1.0
3314.0,1.0,1.0
3319.0,1.0,1.0
3341.0,1.0,4.0
3345.0,1.0,2.0
3363.0,1.0,1.0
3372.0,1.0,1.0
3376.0,1.0,1.0
3381.0,1.0,2.0
3401.0,1.0,2.0
3410.0,1.0,1.0
3411.0,1.0,2.0
3414.0,1.0,2.0
3423.0,1.0,1.0
3426.0,1.0,1.0
3454.0,1.0,2.0
3461.0,1.0,1.0
3474.0,1.0,2.0
3492.0,1.0,2.0
3495.0,1.0,4.0
3501.0,1.0,1.0
3512.0,1.0,3.0
3514.0,1.0,2.0
3527.0,1.0,1.0
3530.0,1.0,3.0
3538.0,1.0,1.0
3544.0,1.0,2.0
3550.0,1.0,4.0
3568.0,1.0,3.0
3577.0,1.0,1.0
3588.0,1.0,2.0
3615.0,1.0,2.0
3619.0,1.0,2.0
3629.0,1.0,1.0
3642.0,1.0,1.0
3644.0,1.0,2.0
3655.0,1.0,1.0
3658.0,1.0,1.0
3682.0,1.0,2.0
3711.0,1.0,2.0
3712.0,1.0,1.0
3717.0,1.0,2.0
3731.0,1.0,1.0
3736.0,1.0,2.0
3767.0,1.0,1.0
3771.0,1.0,2.0
3777.0,1.0,2.0
3813.0,1.0,2.0
3818.0,1.0,3.0
3827.0,1.0,2.0
3850.0,1.0,1.0
3851.0,1.0,2.0
3859.0,1.0,1.0
3936.0,1.0,2.0
3937.0,1.0,2.0
3944.0,1.0,1.0
3977.0,1.0,1.0
3982.0,1.0,1.0
3984.0,1.0,2.0
3994.0,1.0,1.0
3995.0,1.0,1.0
3996.0,1.0,1.0
4004.0,1.0,1.0
4015.0,1.0,2.0
4025.0,1.0,2.0
4028.0,1.0,2.0
4034.0,1.0,2.0
4038.0,1.0,2.0
4043.0,1.0,2.0
4045.0,1.0,2.0
4054.0,1.0,3.0
4059.0,1.0,3.0
4080.0,1.0,1.0
4096.0,1.0,2.0
4103.0,1.0,2.0
4130.0,1.0,2.0
4135.0,1.0,3.0
4165.0,1.0,1.0
4171.0,1.0,1.0
4187.0,1.0,2.0
4203.0,1.0,2.0
4211.0,1.0,3.0
4234.0,1.0,1.0
4237.0,1.0,1.0
4253.0,1.0,3.0
4262.0,1.0,1.0
4264.0,1.0,3.0
4274.0,1.0,2.0
4281.0,1.0,2.0
4288.0,1.0,2.0
4294.0,1.0,2.0
4308.0,1.0,3.0
4344.0,1.0,2.0
