hillspace,a,e,i,node,peri,M,P,f,mass,PlanetNum,mrRad_ChenKipping
1.0,0.04972576,0.13862120000000003,0.08635592,1.304064,0.9048901,2.049348,0.01108844,6.070543,8.173644000000001e-06,0.0,1.5255773718747552
1.0,0.07844975,0.1252823,0.11681989999999999,-0.7131350999999999,1.193624,5.889213,0.0219727,5.196752,1.0380969999999999e-05,105.0,1.6038349845189126
1.0,0.1215153,0.1340544,0.07366508,2.807138,6.108354,1.573032,0.04235854,4.972027,6.994036e-06,211.0,1.3991469068373794
1.0,0.185446,0.01126282,0.0508861,-1.9524110000000001,5.663009,4.074769,0.07985787,0.3723009,1.4153399999999999e-05,241.0,1.9973641458629507
1.0,0.29932990000000004,0.008183165,0.07966854,0.39279040000000004,3.2973449999999995,2.238905,0.16376229999999997,4.815686,1.169039e-05,284.0,1.7667985339660848
1.0,0.5617441999999999,0.05245387,0.02105541,3.006782,0.09628629,0.43768789999999996,0.4210109,3.5723830000000003,1.524076e-05,487.0,2.0996072323959467
1.0,0.8792591999999999,0.07249533,0.04532386,-0.5697359000000001,5.46583,5.291983999999999,0.8244416999999999,0.45684480000000005,4.459358e-06,557.0,1.1454094531493877
1.0,1.351867,0.1272057,0.152201,2.063812,2.907235,0.399084,1.571756,1.9552060000000002,2.5963150000000002e-06,601.0,0.9750579689690523
1.0,1.8413220000000001,0.22730460000000002,0.271082,-2.785053,5.318264,2.868075,2.498496,0.5365505,4.794402e-07,665.0,0.6034287521669492
1.0,2.2473959999999997,0.1708377,0.273859,-1.885214,0.7317566999999999,1.699282,3.369017,2.9333650000000002,4.919027e-07,754.0,0.6074557533416023
1.0404,0.05106405,0.1141863,0.07853781,2.413996,1.98715,1.4720389999999999,0.01153908,3.31185,8.079397e-06,0.0,1.4629932702948476
1.0404,0.08207568,0.0475736,0.04424303,-3.066682,4.653654,2.1310279999999997,0.02351352,0.5959158,1.056036e-05,74.0,1.6508691896480023
1.0404,0.1340431,0.03715737,0.04174599,1.157797,1.1174030000000001,2.222688,0.04907506,6.226584,8.768734e-06,159.0,1.4740219488943131
1.0404,0.20736770000000002,0.03992688,0.03176178,-1.229131,3.663079,2.380394,0.0944285,6.2251330000000005,1.2720530000000002e-05,190.0,1.9899681916298522
1.0404,0.31190999999999997,0.010331100000000001,0.01968425,0.3057077,0.7851772,1.0462120000000001,0.1741943,6.237577,5.293988e-06,404.0,1.2026470219738408
1.0404,0.41379790000000005,0.01326476,0.03180034,-1.23709,4.7527099999999995,0.1213471,0.2661759,2.8954400000000002,9.490635999999999e-06,427.0,1.59716348639394
1.0404,0.5735939,0.01015713,0.01839069,0.507046,3.6224089999999998,4.566612999999999,0.4344052,0.44585810000000003,8.550124e-06,414.0,1.4317403952441068
1.0404,0.9526576999999999,0.02764279,0.004740763,1.777668,5.856063,0.4159184,0.9298008,5.303172,7.314202e-06,562.0,1.3565575157627512
1.0404,1.355048,0.1427445,0.10449360000000002,2.6213319999999998,1.32876,0.6271799,1.577307,3.00402,8.606824000000001e-07,656.0,0.7061372931766213
1.0404,1.551172,0.3575844,0.3302813,1.105441,0.05097949,4.5310690000000005,1.9318549999999999,3.259991,1.168643e-07,628.0,0.41031229379360834
1.0404,1.7097740000000001,0.2146873,0.2085091,-2.411458,4.0457529999999995,4.592105,2.235592,3.019773,1.205256e-07,668.0,0.4217277331992214
1.0404,2.128126,0.1434034,0.24222739999999998,-2.6787330000000003,0.7831618,3.762914,3.10442,5.463698,1.236621e-07,701.0,0.4163562699607799
1.0404,373.6467,0.9973796,0.03430769,-0.5594892,2.026557,4.504747,7222.31,3.139707,2.50163e-07,704.0,0.5098091575300652
1.08081,0.04789703,0.07411720000000001,0.06529538,0.8440138,3.1911400000000003,2.683141,0.01048242,4.784039,5.337519e-06,0.0,1.212497382638679
1.08081,0.07491161,0.02278228,0.07028085,0.5920739,4.579951,1.2016069999999999,0.02050314,2.345714,9.949384999999999e-06,46.0,1.6068766714376526
1.08081,0.1192932,0.07876407,0.05086339,-0.3769467,5.238136,4.167631,0.041201999999999996,5.480919999999999,8.406273e-06,178.0,1.4465894868875326
1.08081,0.1809692,0.08317607,0.03436311,2.070612,0.7709736,0.08109793,0.07698383,3.4663160000000004,1.130781e-05,213.0,1.8514737402542865
1.08081,0.26506799999999997,0.01967194,0.03737213,-2.584714,2.0475380000000003,2.339248,0.136466,2.8864959999999997,6.970413e-06,359.0,1.3037164237063226
1.08081,0.3954495,0.03748307,0.02269561,-0.3088267,5.470039,6.0418389999999995,0.2486718,0.9401755999999999,1.135935e-05,310.0,1.83267998318268
1.08081,0.599819,0.05669305,0.05368302,-1.263662,2.105163,5.813276999999999,0.4645316,4.860386,8.240458e-06,499.0,1.5290285594356177
1.08081,0.9584734,0.02337844,0.03987985,2.834441,1.999887,0.004083316,0.9383326999999999,1.499516,7.626586e-06,441.0,1.3560481308839851
1.08081,1.7169279999999998,0.05464311,0.06952816,2.6762349999999997,3.2646479999999998,5.984375,2.2496400000000003,0.04858976,8.97317e-07,607.0,0.7129418523592672
1.08081,2.948892,0.7099062,0.3201434,2.488836,0.3382742,3.57324,5.063763,2.271945,1.190183e-07,570.0,0.4084517056107385
1.12121,0.05272467,0.12377049999999999,0.01808323,-1.9211209999999999,1.473899,0.0228274,0.01210652,0.5996022,6.39019e-06,0.0,1.3045496072322962
1.12121,0.09040484,0.01730517,0.06703134,1.052094,3.9548349999999997,0.6098645,0.027182099999999997,1.9188,1.4189270000000001e-05,58.0,2.176102042212019
1.12121,0.1569497,0.03007176,0.03729034,1.847688,1.162706,4.255522,0.06217772,1.302771,5.990558999999999e-06,176.0,1.2779235605701336
1.12121,0.20619429999999997,0.06244437,0.07410521,-2.7634790000000002,1.329083,2.958213,0.0936284,4.27715,7.877147e-06,265.0,1.4746662075395354
1.12121,0.3035693,0.0150173,0.04925836,-2.820357,0.48874670000000003,3.512603,0.16725410000000002,5.831228,1.0998659999999999e-05,313.0,1.7315737534685984
1.12121,0.4767781,0.03119935,0.02680209,-0.16724879999999998,2.921891,2.026389,0.32920170000000004,5.5121709999999995,1.1460739999999998e-05,324.0,1.7832799301757598
1.12121,0.7843241,0.04596849,0.04417274,0.19721670000000002,4.009519,6.150398,0.6945909,2.027427,8.760911999999999e-06,458.0,1.531031515870496
1.12121,1.377184,0.08550777,0.031032,2.4201189999999997,2.535268,2.539715,1.616119,3.762606,1.4297110000000001e-06,522.0,0.8124959999551957
1.12121,1.441861,0.28796370000000004,0.21866620000000003,-3.032896,1.0168030000000001,2.042687,1.7312919999999998,3.692097,2.660499e-07,591.0,0.5145926455464664
1.12121,1.839341,0.3149383,0.1141635,2.7422459999999997,4.185082,0.6316954,2.494472,6.258014,1.347733e-07,633.0,0.4205156331025412
1.12121,1.9626709999999998,0.19339679999999998,0.28720650000000003,-1.5921319999999999,2.1854150000000003,5.209674,2.749521,4.248542,2.531541e-07,520.0,0.5005262770791228
1.12121,2.049839,0.1941312,0.1763284,0.08986432,2.618272,4.268212999999999,2.934708,1.939989,2.627711e-07,600.0,0.5173258608065856
1.12121,2.087621,0.17330510000000002,0.3198831,-2.980177,3.115781,5.926439,3.016219,5.590179,1.346566e-07,632.0,0.43270852351705874
1.12121,2.238633,0.4021048,0.7042391,-1.8091080000000002,4.562958999999999,1.978213,3.349342,4.729679,1.3489020000000002e-07,634.0,0.41885269055822194
1.12121,2.243199,0.5682898000000001,0.16827779999999998,1.7774580000000002,3.6960919999999997,5.786585,3.3595949999999997,1.1607,1.305414e-07,596.0,0.4160107873666522
1.12121,18.50131,0.9567026,0.1350201,1.5803559999999999,0.34215209999999996,1.630049,79.57721,3.5809800000000003,1.3559439999999998e-07,640.0,0.41911140621723153
1.16162,0.06020512,0.01552466,0.03690512,1.7614009999999998,4.5463309999999995,6.123199,0.01477229,6.092844,1.119204e-05,0.0,1.7814195350648485
1.16162,0.09882214,0.02212526,0.15476979999999999,1.897372,0.27324640000000006,2.371944,0.03106548,0.2104209,4.062382e-06,129.0,1.103329151591406
1.16162,0.13011910000000002,0.02013754,0.06863576,1.123674,3.920079,3.009754,0.04693599,4.213564,9.819179e-06,159.0,1.6390485203982428
1.16162,0.211101,0.009327544,0.05865967,-1.433476,2.8805959999999997,3.92825,0.0969902,2.492469,1.0380430000000002e-05,213.0,1.6231920006453768
1.16162,0.30758520000000006,0.0739413,0.03017206,-2.345535,4.292778,4.490435,0.17058410000000002,2.620495,8.610871e-06,301.0,1.5678374447736563
1.16162,0.48157520000000004,0.08731478,0.01107342,1.044602,3.3939449999999995,5.592301,0.33418309999999996,1.3200129999999999,9.962957e-06,309.0,1.5732665387086708
1.16162,0.8607253,0.0253393,0.02053236,3.051222,4.095315,5.067678,0.7985146,4.160734,1.0433239999999998e-05,443.0,1.7832139309793567
1.16162,1.298295,0.17989660000000002,0.1565338,-0.6009350999999999,5.410496,3.5635449999999995,1.479264,4.6778699999999995,1.6537000000000002e-06,479.0,0.8658910893806684
1.16162,2.1120259999999997,0.3073087,0.35582790000000003,-2.566909,0.8636449,1.966447,3.069268,3.4394760000000004,1.184746e-07,457.0,0.4082366768254387
1.20202,0.06523985,0.03722505,0.07272433,-3.0313830000000004,2.455212,3.9897970000000003,0.01666352,4.492877,1.2730539999999999e-05,0.0,1.94189923170982
