SIID,simvar,transMult
4.0,1.14543998,1.0
13.0,1.14543998,1.0
24.0,1.14543998,1.0
32.0,1.14543998,2.0
38.0,1.14543998,1.0
40.0,1.14543998,1.0
53.0,1.14543998,2.0
61.0,1.14543998,1.0
62.0,1.14543998,3.0
64.0,1.14543998,1.0
70.0,1.14543998,1.0
76.0,1.14543998,1.0
81.0,1.14543998,1.0
85.0,1.14543998,1.0
103.0,1.14543998,1.0
104.0,1.14543998,2.0
106.0,1.14543998,1.0
109.0,1.14543998,1.0
120.0,1.14543998,1.0
123.0,1.14543998,1.0
126.0,1.14543998,1.0
136.0,1.14543998,1.0
203.0,1.14543998,1.0
204.0,1.14543998,3.0
209.0,1.14543998,2.0
210.0,1.14543998,1.0
238.0,1.14543998,1.0
244.0,1.14543998,3.0
250.0,1.14543998,1.0
268.0,1.14543998,1.0
269.0,1.14543998,1.0
291.0,1.14543998,1.0
298.0,1.14543998,1.0
307.0,1.14543998,1.0
312.0,1.14543998,1.0
313.0,1.14543998,1.0
328.0,1.14543998,2.0
344.0,1.14543998,2.0
346.0,1.14543998,2.0
349.0,1.14543998,1.0
353.0,1.14543998,1.0
373.0,1.14543998,1.0
381.0,1.14543998,1.0
402.0,1.14543998,1.0
410.0,1.14543998,1.0
425.0,1.14543998,2.0
441.0,1.14543998,1.0
461.0,1.14543998,1.0
474.0,1.14543998,1.0
505.0,1.14543998,1.0
531.0,1.14543998,2.0
542.0,1.14543998,1.0
561.0,1.14543998,1.0
580.0,1.14543998,1.0
583.0,1.14543998,3.0
585.0,1.14543998,1.0
592.0,1.14543998,1.0
628.0,1.14543998,2.0
653.0,1.14543998,2.0
659.0,1.14543998,1.0
673.0,1.14543998,2.0
677.0,1.14543998,2.0
680.0,1.14543998,2.0
687.0,1.14543998,1.0
705.0,1.14543998,3.0
713.0,1.14543998,1.0
718.0,1.14543998,2.0
741.0,1.14543998,1.0
755.0,1.14543998,1.0
756.0,1.14543998,1.0
777.0,1.14543998,1.0
783.0,1.14543998,1.0
790.0,1.14543998,1.0
795.0,1.14543998,1.0
796.0,1.14543998,1.0
800.0,1.14543998,1.0
836.0,1.14543998,3.0
837.0,1.14543998,1.0
849.0,1.14543998,1.0
876.0,1.14543998,1.0
877.0,1.14543998,1.0
885.0,1.14543998,2.0
890.0,1.14543998,1.0
896.0,1.14543998,1.0
904.0,1.14543998,3.0
913.0,1.14543998,1.0
914.0,1.14543998,2.0
919.0,1.14543998,1.0
935.0,1.14543998,1.0
954.0,1.14543998,1.0
973.0,1.14543998,1.0
998.0,1.14543998,1.0
999.0,1.14543998,3.0
1019.0,1.14543998,1.0
1030.0,1.14543998,1.0
1031.0,1.14543998,3.0
1051.0,1.14543998,1.0
1063.0,1.14543998,1.0
1065.0,1.14543998,1.0
1066.0,1.14543998,1.0
1099.0,1.14543998,1.0
1106.0,1.14543998,1.0
1109.0,1.14543998,1.0
1118.0,1.14543998,1.0
1122.0,1.14543998,1.0
1124.0,1.14543998,1.0
1132.0,1.14543998,1.0
1138.0,1.14543998,1.0
1145.0,1.14543998,2.0
1147.0,1.14543998,1.0
1148.0,1.14543998,1.0
1179.0,1.14543998,1.0
1186.0,1.14543998,2.0
1192.0,1.14543998,1.0
1216.0,1.14543998,2.0
1238.0,1.14543998,1.0
1240.0,1.14543998,1.0
1256.0,1.14543998,1.0
1276.0,1.14543998,1.0
1288.0,1.14543998,2.0
1290.0,1.14543998,1.0
1316.0,1.14543998,1.0
1317.0,1.14543998,2.0
1320.0,1.14543998,2.0
1325.0,1.14543998,2.0
1336.0,1.14543998,1.0
1350.0,1.14543998,1.0
1396.0,1.14543998,1.0
1403.0,1.14543998,2.0
1432.0,1.14543998,3.0
1436.0,1.14543998,2.0
1439.0,1.14543998,2.0
1449.0,1.14543998,1.0
1453.0,1.14543998,3.0
1460.0,1.14543998,2.0
1486.0,1.14543998,1.0
1534.0,1.14543998,2.0
1535.0,1.14543998,3.0
1537.0,1.14543998,1.0
1545.0,1.14543998,1.0
1566.0,1.14543998,1.0
1580.0,1.14543998,1.0
1581.0,1.14543998,2.0
1589.0,1.14543998,1.0
1611.0,1.14543998,1.0
1619.0,1.14543998,1.0
1645.0,1.14543998,1.0
1679.0,1.14543998,1.0
1684.0,1.14543998,2.0
1713.0,1.14543998,1.0
1715.0,1.14543998,2.0
1721.0,1.14543998,2.0
1759.0,1.14543998,1.0
1781.0,1.14543998,2.0
1788.0,1.14543998,2.0
1800.0,1.14543998,1.0
1816.0,1.14543998,1.0
1824.0,1.14543998,1.0
1837.0,1.14543998,1.0
1849.0,1.14543998,1.0
1875.0,1.14543998,1.0
1907.0,1.14543998,1.0
1938.0,1.14543998,2.0
1972.0,1.14543998,2.0
1976.0,1.14543998,1.0
1977.0,1.14543998,1.0
1980.0,1.14543998,1.0
1982.0,1.14543998,1.0
1986.0,1.14543998,1.0
1997.0,1.14543998,1.0
2015.0,1.14543998,1.0
2026.0,1.14543998,2.0
2062.0,1.14543998,2.0
2070.0,1.14543998,1.0
2078.0,1.14543998,2.0
2087.0,1.14543998,1.0
2094.0,1.14543998,1.0
2135.0,1.14543998,1.0
2156.0,1.14543998,2.0
2161.0,1.14543998,1.0
2188.0,1.14543998,2.0
2192.0,1.14543998,2.0
2200.0,1.14543998,1.0
2202.0,1.14543998,1.0
2206.0,1.14543998,2.0
2254.0,1.14543998,1.0
2255.0,1.14543998,1.0
2264.0,1.14543998,1.0
2271.0,1.14543998,2.0
2299.0,1.14543998,1.0
2303.0,1.14543998,1.0
2324.0,1.14543998,2.0
2339.0,1.14543998,2.0
2354.0,1.14543998,1.0
2358.0,1.14543998,1.0
2364.0,1.14543998,2.0
2372.0,1.14543998,1.0
2393.0,1.14543998,1.0
2397.0,1.14543998,1.0
2403.0,1.14543998,1.0
2409.0,1.14543998,2.0
2414.0,1.14543998,1.0
2424.0,1.14543998,2.0
2427.0,1.14543998,2.0
2453.0,1.14543998,3.0
2461.0,1.14543998,2.0
2483.0,1.14543998,2.0
2503.0,1.14543998,1.0
2511.0,1.14543998,1.0
2568.0,1.14543998,1.0
2571.0,1.14543998,1.0
2587.0,1.14543998,1.0
2624.0,1.14543998,1.0
2633.0,1.14543998,1.0
2639.0,1.14543998,1.0
2646.0,1.14543998,2.0
2680.0,1.14543998,1.0
2692.0,1.14543998,1.0
2710.0,1.14543998,1.0
2711.0,1.14543998,1.0
2736.0,1.14543998,1.0
2738.0,1.14543998,2.0
2752.0,1.14543998,1.0
2753.0,1.14543998,1.0
2761.0,1.14543998,2.0
2772.0,1.14543998,2.0
2775.0,1.14543998,3.0
2777.0,1.14543998,2.0
2796.0,1.14543998,1.0
2807.0,1.14543998,3.0
2812.0,1.14543998,2.0
2816.0,1.14543998,3.0
2818.0,1.14543998,1.0
2820.0,1.14543998,3.0
2824.0,1.14543998,1.0
2826.0,1.14543998,1.0
2829.0,1.14543998,1.0
2830.0,1.14543998,1.0
2840.0,1.14543998,1.0
2861.0,1.14543998,1.0
2872.0,1.14543998,1.0
2874.0,1.14543998,2.0
2887.0,1.14543998,2.0
2889.0,1.14543998,1.0
2892.0,1.14543998,1.0
2901.0,1.14543998,2.0
2945.0,1.14543998,1.0
2949.0,1.14543998,1.0
2978.0,1.14543998,1.0
2989.0,1.14543998,1.0
3019.0,1.14543998,1.0
3055.0,1.14543998,1.0
3063.0,1.14543998,2.0
3071.0,1.14543998,2.0
3079.0,1.14543998,2.0
3085.0,1.14543998,2.0
3142.0,1.14543998,1.0
3162.0,1.14543998,1.0
3170.0,1.14543998,3.0
3181.0,1.14543998,1.0
3198.0,1.14543998,2.0
3246.0,1.14543998,1.0
3250.0,1.14543998,1.0
3251.0,1.14543998,1.0
3254.0,1.14543998,1.0
3266.0,1.14543998,1.0
3271.0,1.14543998,1.0
3290.0,1.14543998,1.0
3300.0,1.14543998,1.0
3302.0,1.14543998,1.0
3314.0,1.14543998,2.0
3325.0,1.14543998,1.0
3329.0,1.14543998,2.0
3332.0,1.14543998,1.0
3340.0,1.14543998,1.0
3345.0,1.14543998,1.0
3348.0,1.14543998,1.0
3363.0,1.14543998,1.0
3381.0,1.14543998,2.0
3399.0,1.14543998,1.0
3401.0,1.14543998,1.0
3457.0,1.14543998,3.0
3461.0,1.14543998,1.0
3473.0,1.14543998,2.0
3492.0,1.14543998,2.0
3495.0,1.14543998,1.0
3500.0,1.14543998,1.0
3505.0,1.14543998,1.0
3508.0,1.14543998,2.0
3517.0,1.14543998,1.0
3523.0,1.14543998,1.0
3529.0,1.14543998,1.0
3538.0,1.14543998,1.0
3544.0,1.14543998,1.0
3550.0,1.14543998,1.0
3552.0,1.14543998,2.0
3555.0,1.14543998,1.0
3563.0,1.14543998,1.0
3568.0,1.14543998,1.0
3588.0,1.14543998,1.0
3615.0,1.14543998,1.0
3619.0,1.14543998,2.0
3644.0,1.14543998,1.0
3649.0,1.14543998,2.0
3653.0,1.14543998,1.0
3658.0,1.14543998,1.0
3671.0,1.14543998,1.0
3681.0,1.14543998,2.0
3692.0,1.14543998,2.0
3696.0,1.14543998,3.0
3710.0,1.14543998,1.0
3717.0,1.14543998,1.0
3736.0,1.14543998,1.0
3741.0,1.14543998,2.0
3775.0,1.14543998,1.0
3780.0,1.14543998,1.0
3782.0,1.14543998,2.0
3793.0,1.14543998,1.0
3800.0,1.14543998,3.0
3813.0,1.14543998,1.0
3851.0,1.14543998,2.0
3853.0,1.14543998,1.0
3857.0,1.14543998,1.0
3886.0,1.14543998,2.0
3889.0,1.14543998,1.0
3936.0,1.14543998,1.0
3937.0,1.14543998,1.0
3941.0,1.14543998,2.0
3958.0,1.14543998,1.0
3982.0,1.14543998,1.0
4005.0,1.14543998,1.0
